user_ip,country_name,country_code,capital,target_latitude,target_longitude,current_temp
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
180.66.108.50,South Korea (Fallback),KR,Seoul,37.55,127.0,22.6
